[1] "This is Two_stocks_Optimising_ftarget_in_shortcut_model"
    Fcod  Fhad
1   0.28 0.353
415 0.22 0.260
463 0.56 0.280
179 0.46 0.100
526 0.58 0.320
195 0.16 0.120
938 0.14 0.600
818 0.22 0.520
118 0.48 0.060
299 0.38 0.180
229 0.22 0.140
244 0.52 0.140
14  0.26 0.000
374 0.02 0.240
665 0.26 0.420
602 0.24 0.380
603 0.26 0.380
768 0.46 0.480
709 0.52 0.440
91  0.56 0.040
348 0.12 0.220
649 0.56 0.400
355 0.26 0.220
840 0.04 0.540
26  0.50 0.000
519 0.44 0.320
426 0.44 0.260
941 0.20 0.600
766 0.42 0.480
211 0.48 0.120
932 0.02 0.600
590 0.00 0.380
593 0.06 0.380
555 0.54 0.340
871 0.04 0.560
373 0.00 0.240
844 0.12 0.540
143 0.36 0.080
544 0.32 0.340
490 0.48 0.300
621 0.00 0.400
775 0.60 0.480
905 0.10 0.580
842 0.08 0.540
23  0.44 0.000
309 0.58 0.180
135 0.20 0.080
821 0.28 0.520
224 0.12 0.140
166 0.20 0.100
217 0.60 0.120
290 0.20 0.180
581 0.44 0.360
72  0.18 0.040
588 0.58 0.360
575 0.32 0.360
141 0.32 0.080
722 0.16 0.460
865 0.54 0.540
859 0.42 0.540
153 0.56 0.080
294 0.28 0.180
277 0.56 0.160
960 0.58 0.600
41  0.18 0.020
431 0.54 0.260
90  0.54 0.040
316 0.10 0.200
223 0.10 0.140
528 0.00 0.340
116 0.44 0.060
606 0.32 0.380
774 0.58 0.480
747 0.04 0.480
456 0.42 0.280
598 0.16 0.380
854 0.32 0.540
39  0.14 0.020
159 0.06 0.100
752 0.14 0.480
209 0.44 0.120
949 0.36 0.600
955 0.48 0.600
34  0.04 0.020
516 0.38 0.320
13  0.24 0.000
69  0.12 0.040
755 0.20 0.480
409 0.10 0.260
308 0.56 0.180
278 0.58 0.160
89  0.52 0.040
537 0.18 0.340
291 0.22 0.180
424 0.40 0.260
286 0.12 0.180
671 0.38 0.420
121 0.54 0.060
110 0.32 0.060
158 0.04 0.100
64  0.02 0.040
483 0.34 0.300
477 0.22 0.300
480 0.28 0.300
